Question,Answer,Tag
What is an Indian employment visa?,"If a foreign national wishes to enter India to seek employment, or to fill a paid employee's position in an Indian company, or to conduct whole or part of a project on a salaried basis, to fulfil the duties of his/her profession on a consultant basis, etc., he/she must apply for an Indian Employment Visa.
Employment Visas are granted to foreign nationals if the following criteria are met:
Foreign nationals will not be issued Employment Visas to India for employment in a particular company if there are equally skilled or qualified Indian citizens available.
Regular job posts for which many similarly qualified Indian citizens are available cannot be filled by foreign nationals on an Employment Visa.
Clerical, secretarial, and routine jobs cannot be filled by a foreign national on an Employment Visa.
Employment Visas must be applied for (and issued through) the applicant's country of origin or the applicant's country of domicile, provided that the applicant has lived in the country of domicile for at least 2 consecutive years.
The foreign national entering on an Employment Visa should agree to abide by all Indian tax payment laws, and complies with all other requirements like the civil code, etc.
 ",immigration
What is the validity of an Intern Visa?,"The validity of the Intern visa is restricted to the duration of the internship program or one year, whichever is less. It can't be converted into an Employment visa or any other type of visa for time being. An intern who acquires an employment in the course of his internship is required to get an employment visa and cannot stay in India with an Intern visa. ",immigration
What is a tourist visa in India?,"A tourist visa in India is granted in India for recreation, sightseeing, casual visits to meet friends or relatives, tourism etc. Activities that can be undertaken by a person on a tourist visa are limited to tourism, recreation etc.. Thus, a tourist visa is appropriate for those on non-business related purpose or tourism. For any further information you can consult best immigration lawyers online.
The following persons are not eligible for tourist visa in India and must apply for entry visa:
Persons of Indian Origin
Spouse and children of Person of Indian Origin
Spouse and dependent family members of a foreign national coming to India on a long term visa like Business, Employment, Research or Student visa.
 ",immigration
What are the documents required for Indian employment visa?,"The documents required for Indian employment visa must be accompanied by a set of original or authenticated documents. It is better to talk to the best immigration lawyers in the country. The list of these required documents is as under:
Properly filled out Employment visa application form.
A valid travel document and re-entry permit from the applicant's country of origin or country of domicile (if the applicant has been residing in the country of domicile for at least 2 years).
A valid document that proves that the applicant has secured employment, a contract, an engagement, or role in an Indian company, industry, NGO, organization, etc.
Valid documents of educational qualifications.
Valid documents of professional qualifications.
Valid documents of any additional skill training, specialization, technical training, etc.
Copy of valid passport with at least 6 months validity, to be renewed before travelling.
 ",immigration
Can a business visa be converted into employment visa?,"No, any change in visa status can only be done after either the expiry of the current Visa, or if the foreign national goes back to his/her country of origin or country of domicile and applies for a fresh Visa.
If a foreign national has entered India through a Business Visa and concluded the intended business activities, and then wishes to stay on as a salaried employee or pursue any other form of commercial activity that does not fall under the scope of a Business Visa, he or she cannot simply convert the Visa type without leaving the country. Even if there is some validity left on the Business Visa, he/she will be expected to begin the Employment Visa application process form his/her country of origin or country of domicile, as the case may be. The person can on grant of such Visa return back to India and continue the Employment. The same rule is applicable to employment visa conversion to business visa. ",immigration
What is an Indian business visa?,"Indian business visa is for those who would like to start or continue or conduct business in India. It can also be applied for by people looking for business opportunities in India. The Business Visa is for such kind of foreigners who would like to conduct business in India. The Business Visa Holder or applicant cannot work for an organization in India. The Business Visa holder cannot earn income from company or organization in India. Activities prohibited for you when on a business visa can be explained by experienced immigration lawyers in India.
The Business Visa applicant requires a letter from the business/ organization they intend doing business with some details. These details would be regarding duration of stay, the nature of the business, places to be visited, and intention to meet expenses. The validity period for a Business Visa is up to 5 years with multiple entries.",immigration
What is the validity of Indian tourist visa?,"The validity of Indian tourist visa is 6 months. The visa validity duration begins on the first day of issuance. Therefore, a six-month visa issued on July 1 would be valid until December 31. Regardless of the duration of the valid visa, the maximum duration of stay in India is limited to 6 months (180 days) on each visit.",immigration
What can I do if my passport was stolen in India?,"If you are a foreign national on a trip to India on a visa and you lose your passport, you can apply for an Emergency Certificate and return to the city of your origin citing the reasons to do so. Further, such certificate is only granted when the concerned authority is satisfied that the case is not bogus or false and there is no hidden motive behind such claim of a lost passport.
If you are an Indian citizen who has lost his passport, you need to apply for re-issue of passport. Following documents must be submitted along with the application:
Proof of Present Address
Proof of Date of Birth
Affidavit stating how and where the passport got lost/damaged (Annexure 'F')
Police report in original
Self-attested photocopy of first two and last two pages, including ECR/Non-ECR page of old passport, if available.
 ",immigration
Can a person holding tourist visa accept employment in India?,"No, a person holding tourist visa cannot accept employment in India of any kind. The purpose of a tourist visa is recreation or travel. You cannot conduct any commercial or business activity while on a tourist visa. Any such activity if done is violation of visa rules and may lead to legal consequences. ",immigration
What is the new Intern (I) Visa in India?,"Before April 1, 2017, it was necessary for foreigners pursuing an internship in an Indian organization to obtain an Employment visa. However, foreigners who meet certain conditions can now get an Intern visa. The gap between the completion of graduation or post graduation and the commencement of the internship should not exceed one year.",immigration
